iter	MultiClass
0	1.082298912
1	1.058709462
2	1.03708212
3	1.023019104
4	1.010327282
5	1.00104552
6	0.993246113
7	0.9814896764
8	0.9751767369
9	0.9668276897
10	0.9583094476
11	0.950226797
12	0.9406145891
13	0.9284544991
14	0.9249162413
15	0.9152915702
16	0.9067355671
17	0.9010753796
18	0.8953603532
19	0.8852234454
20	0.8739688229
21	0.8660773569
22	0.8600201078
23	0.8385275864
24	0.8285083057
25	0.8174551473
26	0.8114087672
27	0.8031480363
28	0.7929157752
29	0.77936821
30	0.7723950685
31	0.7639274604
32	0.7544577903
33	0.7469608687
34	0.7306926272
35	0.7226721712
36	0.7138838526
37	0.7077749302
38	0.7012249547
39	0.6964316425
40	0.6872987524
41	0.6810338474
42	0.6752278487
43	0.6699218317
44	0.6632579998
45	0.6582876468
46	0.6531297032
47	0.6470597613
48	0.6400544612
49	0.6306028204
50	0.6261184518
51	0.6219678812
52	0.6152910918
53	0.6091314148
54	0.6014528584
55	0.5983253544
56	0.5928845926
57	0.5868545111
58	0.5820686182
59	0.5781516647
60	0.5703406242
61	0.5652397456
62	0.5571051559
63	0.549472657
64	0.5437028631
65	0.5396418432
66	0.5338850253
67	0.5301159061
68	0.5269575906
69	0.5227382351
70	0.5174354595
71	0.5115339877
72	0.5078268478
73	0.5052229341
74	0.4999850256
75	0.4964740581
76	0.4934208504
77	0.4892258794
78	0.4840569894
79	0.4815408186
80	0.4780704802
81	0.4731413366
82	0.4702106968
83	0.4658685261
84	0.4605827436
85	0.4580320482
86	0.4549657557
87	0.4518686521
88	0.4485584138
89	0.4443711704
90	0.4406530765
91	0.4368794622
92	0.4353038922
93	0.4315576528
94	0.4286692729
95	0.4247217478
96	0.4211327094
97	0.4183111785
98	0.4149283796
99	0.4131523613
