iter	Passed	Remaining
0	8	867
1	16	816
2	24	780
3	31	749
4	38	733
5	46	720
6	53	708
7	60	698
8	68	697
9	76	690
10	84	685
11	91	674
12	99	663
13	106	651
14	112	638
15	119	629
16	126	619
17	133	609
18	140	598
19	147	589
20	154	582
21	162	577
22	170	570
23	178	565
24	186	559
25	194	554
26	202	547
27	210	542
28	218	535
29	226	529
30	234	522
31	242	514
32	249	507
33	257	500
34	265	493
35	273	486
36	281	478
37	288	471
38	296	463
39	303	455
40	311	447
41	319	441
42	326	432
43	332	423
44	339	415
45	346	406
46	353	398
47	361	391
48	369	384
49	377	377
50	384	369
51	391	361
52	398	353
53	405	345
54	412	337
55	419	329
56	426	321
57	433	313
58	439	305
59	446	297
60	454	290
61	461	282
62	469	275
63	477	268
64	484	261
65	492	253
66	499	246
67	506	238
68	514	230
69	520	223
70	527	215
71	535	208
72	543	200
73	551	193
74	559	186
75	567	179
76	574	171
77	582	164
78	590	156
79	597	149
80	604	141
81	612	134
82	619	126
83	626	119
84	633	111
85	640	104
86	646	96
87	653	89
88	660	81
89	668	74
90	675	66
91	683	59
92	690	51
93	697	44
94	704	37
95	712	29
96	720	22
97	727	14
98	735	7
99	743	0
